M10x1,25;1,25;16;10;6,4;17,8;8;5;10;16;6;4,4;5,5;20;5;5;14,6
M12x0,35;0,35;18;12;7,5;20;10;6;12;18;8;4,6;6,5;24;6;6;16,6
M12x0,5;0,5;18;12;7,5;20;10;6;12;18;8;4,6;6,5;24;6;6;16,6
M12x1;1;18;12;7,5;20;10;6;12;18;8;4,6;6,5;24;6;6;16,6
M12x1,25;1,25;18;12;7,5;20;10;6;12;18;8;4,6;6,5;24;6;6;16,6
M12x1,5;1,5;18;12;7,5;20;10;6;12;18;8;4,6;6,5;24;6;6;16,6
M16x0,5;0,5;24;16;10;26,2;14;8;16;24;10;5,3;7,5;30;8;8;22
M16x1;1;24;16;10;26,2;14;8;16;24;10;5,3;7,5;30;8;8;22
M16x1,5;1,5;24;16;10;26,2;14;8;16;24;10;5,3;7,5;30;8;8;22
M20x1;1;30;20;12,5;33;17;10;20;30;12;5,9;8,5;36;10;10;27,7
M20x1,5;1,5;30;20;12,5;33;17;10;20;30;12;5,9;8,5;36;10;10;27,7
M24x1,5;1,5;36;24;15;39,6;19;12;24;36;14;10,3;14;39;12;12;33,3
M24x2;2;36;24;15;39,6;19;12;24;36;14;10,3;14;39;12;12;33,3
M30x1,5;1,5;46;30;18,7;50,9;22;15,5;30;45;18;11,1;16;45;14;16;42,8
M30x2;2;46;30;18,7;50,9;22;15,5;30;45;18;11,1;16;45;14;16;42,8
M36x1,5;1,5;55;36;22,5;60,8;27;19;36;54;20;11,9;18;52;16;18;51,1
M36x2;2;55;36;22,5;60,8;27;19;36;54;20;11,9;18;52;16;18;51,1
M36x3;3;55;36;22,5;60,8;27;19;36;54;20;11,9;18;52;16;18;51,1
M42x1,5;1,5;65;42;26;71,3;32;24;42;63;23;12,8;20;58;18;20;60
M42x2;2;65;42;26;71,3;32;24;42;63;23;12,8;20;58;18;20;60
M42x3;3;65;42;26;71,3;32;24;42;63;23;12,8;20;58;18;20;60
M48x1,5;1,5;75;48;30;82,6;36;28;48;72;26;14,6;22;65;20;22;69,5
M48x2;2;75;48;30;82,6;36;28;48;72;26;14,6;22;65;20;22;69,5
M48x3;3;75;48;30;82,6;36;28;48;72;26;14,6;22;65;20;22;69,5
M56x1,5;1,5;85;56;35;93,6;40;32;54;82;28;15,4;24;72;22;24;78,7
M56x2;2;85;56;35;93,6;40;32;54;82;28;15,4;24;72;22;24;78,7
M56x4;4;85;56;35;93,6;40;32;54;82;28;15,4;24;72;22;24;78,7
